rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
666,print_safe_contiguous_closed_tube_seed2502,1446,0.07633490,0.07633490,2.11014820,0.11257312,0.86628014,3.08719604,0.09813505,0.00000000,0.20073811,0.54676431,0.06390896
667,continuous_uniform_both_load_cases_9in_corrected,560,0.07640635,0.07640635,6.33313625,0.01926673,1.49896691,5.11585823,0.05615757,0.00000000,0.53203893,0.23105073,0.07640753
668,print_safe_contiguous_closed_tube_seed2502,174,0.07642503,0.07642503,4.04227926,0.04233015,1.11075937,4.35320375,0.07865561,0.00000000,0.22610736,0.41924202,0.06994412
669,print_safe_contiguous_closed_tube_seed2502,567,0.07646002,0.07646002,1.87344370,0.09292559,1.28478850,4.82491434,0.10084320,0.00000000,0.14943486,0.47542305,0.08291578
670,print_safe_contiguous_closed_tube_seed2502,907,0.07647426,0.07647426,4.04510279,0.03305238,1.37786408,5.25497592,0.08021125,0.00000000,0.22687363,0.37730144,0.09613424
671,print_safe_contiguous_closed_tube_seed2502,311,0.07647427,0.07647427,3.33913160,0.05152702,1.29941892,5.06515054,0.08553987,0.00000000,0.18159681,0.43980184,0.09261272
672,print_safe_contiguous_closed_tube_seed2502,406,0.07662131,0.07662131,1.95627386,0.10960795,1.08229207,3.88731787,0.09830291,0.00000000,0.17660800,0.47460194,0.08387891
673,print_safe_contiguous_closed_tube_seed2502,1391,0.07668982,0.07668982,2.08064541,0.11761678,0.82942219,2.92767775,0.09259642,0.00000000,0.28841473,0.52601167,0.05555437
674,print_safe_contiguous_closed_tube_seed2502,1368,0.07669608,0.07669608,2.01552488,0.10950316,0.88612503,3.52223723,0.08930978,0.00000000,0.25416591,0.49049244,0.09178858
675,print_safe_contiguous_closed_tube_seed2502,1388,0.07670580,0.07670580,2.68006268,0.07794004,0.70026976,2.50313642,0.09245330,0.00000000,0.26431613,0.58724417,0.05429823
676,print_safe_contiguous_closed_tube_seed2502,536,0.07677976,0.07677976,4.34557092,0.03454796,1.36682729,4.93264202,0.08696179,0.00000000,0.21839598,0.44995206,0.05115303
677,print_safe_contiguous_closed_tube_seed2502,745,0.07685060,0.07685060,4.34199717,0.03144736,1.21353313,4.42302862,0.09783827,0.00000000,0.14255955,0.54582370,0.08831423
678,print_safe_contiguous_closed_tube_seed2502,629,0.07686028,0.07686028,3.75188487,0.04622407,0.89555340,3.22648999,0.09237908,0.00000000,0.16703995,0.51041995,0.06308091
679,print_safe_contiguous_closed_tube_seed2502,458,0.07686214,0.07686214,2.46406813,0.07163522,1.36285016,4.65330444,0.08852768,0.00000000,0.22707275,0.38684238,0.08682078
680,print_safe_contiguous_closed_tube_seed2502,1389,0.07692864,0.07692864,2.98753066,0.06377876,0.76453009,2.73420779,0.09398691,0.00000000,0.22095390,0.57599791,0.07836578
681,print_safe_contiguous_closed_tube_seed2502,42,0.07706864,0.07706864,2.91674219,0.06996266,0.61138044,2.28681206,0.10505609,0.00000000,0.21021267,0.63295689,0.07357514
682,print_safe_contiguous_closed_tube_seed2502,427,0.07707799,0.07707799,4.77942335,0.03272939,0.86108888,3.13784040,0.08394665,0.00000000,0.22757334,0.43252510,0.04702454
