rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
68,print_safe_contiguous_closed_tube_seed2502,398,0.05202958,0.05202958,3.56913428,0.03959313,0.89569740,2.80491585,0.07298979,0.00000000,0.16853514,0.44057364,0.09136855
69,print_safe_contiguous_closed_tube_seed2502,1157,0.05203248,0.05203248,1.58060139,0.16492738,0.72967930,2.88091709,0.06123033,0.00000000,0.26524832,0.35642513,0.06382336
70,print_safe_contiguous_closed_tube_seed2502,1296,0.05209203,0.05209203,1.58736265,0.13947724,0.72381189,2.49774752,0.06710015,0.00000000,0.19215169,0.37286369,0.10347325
71,print_safe_contiguous_closed_tube_seed2502,1084,0.05239415,0.05239415,2.89232928,0.05406386,0.75598123,2.87352975,0.06995782,0.00000000,0.17004218,0.42868042,0.02833670
72,print_safe_contiguous_closed_tube_seed2502,370,0.05248899,0.05248899,3.67682328,0.04274926,0.71373514,3.28031349,0.06118291,0.00000000,0.18368893,0.34679742,0.05188150
73,print_safe_contiguous_closed_tube_seed2502,1536,0.05250846,0.05250846,1.98648300,0.09467078,0.88058893,3.06759327,0.06780102,0.00000000,0.19154403,0.36071053,0.07252334
74,print_safe_contiguous_closed_tube_seed2502,345,0.05293700,0.05293700,1.65655791,0.11541386,0.90367305,3.41723430,0.07015814,0.00000000,0.17710668,0.38229247,0.06489664
75,print_safe_contiguous_closed_tube_seed2502,694,0.05303965,0.05303965,2.21182856,0.09526621,0.65810172,2.74055159,0.06632869,0.00000000,0.21117966,0.39217843,0.09060358
76,print_safe_contiguous_closed_tube_seed2502,818,0.05306433,0.05306433,1.99769276,0.10766124,0.88820351,2.94886331,0.06006166,0.00000000,0.18832506,0.33471459,0.09788860
77,print_safe_contiguous_closed_tube_seed2502,1029,0.05308144,0.05308144,1.57223997,0.14996312,0.53217250,1.98079694,0.07009023,0.00000000,0.21942738,0.50902771,0.10528775
78,print_safe_contiguous_closed_tube_seed2502,728,0.05310902,0.05310902,2.62998538,0.07227338,0.59818008,2.18534145,0.06276982,0.00000000,0.27188571,0.40091490,0.02042571
79,print_safe_contiguous_closed_tube_seed2502,276,0.05316888,0.05316888,3.20286417,0.04285378,0.97608861,3.57382246,0.06351866,0.00000000,0.18738922,0.37437869,0.09178440
80,print_safe_contiguous_closed_tube_seed2502,1109,0.05321747,0.05321747,2.82892910,0.06708699,0.60032802,2.25039116,0.06000000,0.00000000,0.22575310,0.36201914,0.06478030
81,print_safe_contiguous_closed_tube_seed2502,1155,0.05328546,0.05328546,1.71388858,0.14917899,0.54970154,2.08728421,0.07839554,0.00000000,0.16856553,0.54318557,0.05391481
82,print_safe_contiguous_closed_tube_seed2502,133,0.05331365,0.05331365,2.03400433,0.10229542,0.58293735,2.24718890,0.06268876,0.00000000,0.25226013,0.42781508,0.08426445
83,print_safe_contiguous_closed_tube_seed2502,1100,0.05337391,0.05337391,1.69382457,0.14635611,0.46183129,1.78038485,0.07515120,0.00000000,0.21949542,0.54911680,0.07265319
84,print_safe_contiguous_closed_tube_seed2502,1298,0.05341426,0.05341426,2.48879105,0.07551251,0.71603734,2.54876550,0.06000000,0.00000000,0.27194861,0.36045197,0.05322523
85,print_safe_contiguous_closed_tube_seed2502,606,0.05342146,0.05342146,3.19492267,0.04394386,0.94809534,3.53736254,0.06398469,0.00000000,0.19861220,0.38149356,0.07512249
86,print_safe_contiguous_closed_tube_seed2502,1167,0.05349665,0.05349665,2.21589645,0.09971945,0.61642134,2.25740339,0.06706730,0.00000000,0.21465824,0.45099454,0.07732137
87,print_safe_contiguous_closed_tube_seed2502,1569,0.05361623,0.05361623,2.31615039,0.09713795,0.40717449,1.74818806,0.07517472,0.00000000,0.18082260,0.50724214,0.05707822
88,print_safe_contiguous_closed_tube_seed2502,1519,0.05373541,0.05373541,1.70331268,0.11443637,0.89128161,3.41862388,0.07137634,0.00000000,0.18861546,0.35149091,0.07950007
89,print_safe_contiguous_closed_tube_seed2502,622,0.05374824,0.05374824,3.06256956,0.06412993,0.82323037,2.39404580,0.06079121,0.00000000,0.23367612,0.33982962,0.09845229
90,print_safe_contiguous_closed_tube_seed2502,1207,0.05375014,0.05375014,1.55082740,0.14611173,0.59646977,2.14069811,0.08316013,0.00000000,0.15683987,0.51281115,0.04117277
92,print_safe_contiguous_closed_tube_seed2502,1190,0.05382661,0.05382661,1.56377769,0.15351472,0.42396925,1.58792343,0.08448172,0.00000000,0.15551828,0.63832649,0.08133000
93,print_safe_contiguous_closed_tube_seed2502,836,0.05386253,0.05386253,1.76845188,0.14070020,0.43150025,1.65656643,0.07257400,0.00000000,0.20328242,0.54531789,0.05704741
94,print_safe_contiguous_closed_tube_seed2502,268,0.05389784,0.05389784,1.92187665,0.13097880,0.42154942,1.63468212,0.07129972,0.00000000,0.21219181,0.51933562,0.05393745
95,print_safe_contiguous_closed_tube_seed2502,1570,0.05404585,0.05404585,2.39500066,0.08982493,0.52045142,2.24029409,0.07035734,0.00000000,0.19421319,0.46824199,0.11292374
96,print_safe_contiguous_closed_tube_seed2502,1231,0.05408401,0.05408401,1.68286235,0.13345309,0.78086853,2.78405927,0.06636148,0.00000000,0.25769539,0.35351914,0.06977705
97,print_safe_contiguous_closed_tube_seed2502,670,0.05420827,0.05420827,2.61853872,0.07998556,0.77765868,3.25208220,0.06002077,0.00000000,0.26417429,0.32231798,0.10029675
98,print_safe_contiguous_closed_tube_seed2502,739,0.05427808,0.05427808,1.65894180,0.15922198,0.44785483,1.64222546,0.06930018,0.00000000,0.24486422,0.51885584,0.08569982
